Circuit and District,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"NY,N",5957,5282,4857,4397,3851,3784,3513,3190,3080,2930,2903,3009,3062,3141,3248,3359,3439,3565,3604,3688,3708,3752
"NY,E",15913,12727,10501,8295,6152,6355,5911,5559,5390,5773,6418,7006,7946,8514,9050,9744,10138,10373,10432,10357,10537,10716
"NY,S",8042,6997,6414,5668,4907,4779,4257,3940,3637,3531,3603,3624,3873,3951,4023,4227,4369,4547,4654,4962,5005,5325
"NY,W",3976,3424,2999,2627,2313,2355,2235,2045,1966,1883,1783,1903,1883,1905,2019,1973,2063,2123,2191,2333,2394,2526
"PA,E",8038,6862,5936,5005,3981,3982,3741,3497,3475,3383,3438,3544,3654,3751,3851,3992,4120,4297,4557,4687,4875,5089
"PA,M",5518,4810,4325,3763,3257,3238,3002,2831,2704,2547,2559,2597,2724,2898,2972,3016,3062,3131,3242,3469,3563,3694
"PA,W",7090,6224,5888,5352,4855,4756,4231,4054,3836,3660,3670,3685,3785,3887,3893,4019,4097,4222,4466,4510,4529,4644
"NC,E",6004,5429,4813,4110,3453,3189,3016,2973,2914,2917,3002,3059,3258,3466,3663,3808,3965,4157,4379,4604,4713,4931
"NC,M",3728,3328,2917,2512,2170,2137,2043,1995,1902,1782,1758,1705,1719,1798,1811,1869,1987,2007,2088,2068,2007,2007
"NC,W",3596,3188,2724,2287,1911,1823,1718,1609,1539,1422,1384,1424,1528,1571,1691,1775,1867,2040,2136,2187,2219,2292
"VA,E",17682,15723,14307,12713,10972,10842,9975,9515,8859,8460,8639,8641,9182,9562,9720,10069,10490,10695,11115,11353,11344,11703
"VA,W",5423,4842,4290,3804,3308,3247,3099,2933,2755,2658,2658,2733,2864,2900,2902,2935,2892,2954,3130,3171,3278,3388
"WV,N",1110,1079,1000,935,856,776,721,699,624,623,580,577,594,589,619,624,631,646,648,693,700,712
"WV,S",1714,1582,1474,1344,1190,1100,1041,976,952,886,834,816,786,802,824,863,913,952,961,942,914,942
"LA,E",3416,2936,2577,2202,1912,1889,1679,1537,1441,1382,1489,1634,1778,1965,2172,2258,2389,2441,2456,2558,2561,2690
"LA,M",1491,1272,1084,882,712,712,649,641,630,652,705,716,785,813,861,939,977,1039,1112,1152,1181,1197
"LA,W",7480,6476,5429,4558,3904,3875,3845,3871,4083,4327,4721,4971,5129,5155,5163,5174,5243,5498,5607,5716,5724,5633
"MS,N",5335,4918,4236,3639,2868,2699,2596,2563,2586,2796,3233,3492,3810,3938,3958,4012,3938,3937,4047,4178,4289,4317
"MS,S",7290,6563,5817,4973,4098,3886,3674,3603,3588,3739,4047,4238,4568,4685,4697,4767,4680,4748,4820,4951,5058,5070
"TX,N",11313,10512,9411,8689,7553,7303,6966,6574,6463,6376,6587,6858,7146,7556,7983,8494,9147,9617,10294,10925,11317,11770
"TX,E",5837,5377,4804,4366,3714,3607,3428,3356,3310,3234,3311,3409,3661,3852,4113,4292,4478,4836,5003,5250,5480,5631
"TX,S",9911,9015,8330,7796,6603,6330,5760,5381,5072,5111,5358,5538,6198,6860,7124,7616,7846,7988,8258,8302,8674,9016
"TX,W",8179,7377,6539,5872,5019,4874,4538,4451,4336,4183,4297,4316,4446,4673,4975,5269,5675,6135,6627,7043,7364,7717
"KY,E",7641,6890,6326,5762,4990,4888,4587,4266,4066,3833,3856,4005,4212,4413,4571,4728,4773,4969,5160,5326,5542,5659
"KY,W",7699,7000,6291,5669,4982,5024,4885,4828,4657,4531,4604,4721,5001,5230,5450,5712,5850,5916,5844,5764,5718,5730
"MI,E",24691,21722,19822,17549,15167,15190,14289,13846,13447,13286,13614,14129,14720,15032,15442,15730,15894,16390,16711,16830,17026,17413
"MI,W",5749,5099,4638,4112,3602,3537,3254,3076,2853,2745,2764,2820,2883,2950,3064,3192,3302,3393,3490,3566,3631,3714
"OH,N",20291,18242,16432,14718,13016,12559,11953,11464,10690,10176,10138,10213,10674,11000,11374,11723,12046,12420,12765,13723,14025,14314
"OH,S",16646,15021,13589,12033,10617,10159,9610,9354,8852,8320,8215,8049,8429,8606,8935,9417,9687,10264,10683,11046,11208,11468
"TN,E",12058,10727,9370,8332,7075,6811,6234,5828,5733,5711,6017,6239,6373,6545,6670,6699,6615,6744,6807,6817,7008,7012
"TN,M",8322,7383,6461,5773,4761,4586,4347,4065,4128,4102,4215,4254,4369,4531,4660,4850,4800,4924,5004,5077,5330,5374
"TN,W",12754,10914,9101,7612,5927,5975,5679,5546,5717,6185,6797,7341,7855,8086,8149,8129,7984,8011,8115,8240,8396,8396
"IL,N",39583,34600,29940,25109,20479,19496,17734,16790,16145,15856,16568,16878,17516,18269,18751,19474,19793,20484,21088,21582,21907,22038
"IL,C",5154,4661,4203,3664,3118,2908,2645,2464,2257,2213,2227,2224,2388,2419,2499,2583,2544,2610,2670,2690,2784,2763
"IL,S",3197,2885,2605,2264,1962,1885,1722,1690,1613,1545,1598,1601,1650,1666,1655,1646,1629,1645,1692,1726,1810,1814
"IN,N",9066,8223,7541,6833,6143,6191,5865,5634,5499,5153,5080,5076,5255,5551,5725,5922,5967,6170,6278,6416,6652,6766
"IN,S",14023,12498,11465,10465,9495,9581,9196,8853,8522,8110,8042,8000,8259,8384,8498,8759,9021,9270,9643,9903,10088,10521
"WI,E",12082,10354,9307,8417,7565,7582,7073,6653,6285,5785,5724,5829,5869,5913,5956,6107,6256,6581,6832,7058,7147,7339
"WI,W",4418,3848,3595,3226,2918,2926,2757,2626,2435,2264,2174,2069,2091,2133,2203,2362,2474,2570,2629,2657,2765,2814
"IA,N",1936,1793,1645,1462,1272,1207,1193,1120,1030,921,831,867,954,1007,1032,1109,1131,1186,1277,1314,1384,1417
"IA,S",3073,2838,2585,2342,2075,1976,1803,1726,1640,1491,1493,1438,1504,1561,1636,1727,1744,1815,1847,1888,1978,2092
"MO,E",9566,8847,8031,7337,6465,6222,5964,5722,5388,5127,5052,4944,5200,5302,5400,5534,5574,5572,5647,5802,5817,5987
"MO,W",7310,6502,5737,5231,4584,4443,4222,4015,3885,3674,3685,3640,3734,3856,3872,3948,3931,3926,3925,3970,4043,4109
"CA,N",7931,7185,6586,5900,5376,5294,4934,4700,4288,3893,3893,3906,4090,4378,4600,4883,5102,5431,5692,5965,6116,6208
"CA,E",14936,13397,12279,10968,9673,9452,8755,8179,7433,6616,6345,6336,6738,7226,7824,8444,8881,9592,10168,10677,11222,11820
"CA,C",37602,33673,31042,27852,25569,25942,24248,23104,21195,19013,17836,17282,17588,18541,19702,21048,22293,23624,24983,25911,26553,27281
"CA,S",7980,7483,7002,6426,5930,5800,5338,4989,4498,3932,3628,3449,3468,3620,3860,4222,4486,4771,4938,5068,5231,5338
"WA,E",3280,2902,2584,2277,1975,1815,1638,1550,1403,1306,1250,1261,1325,1415,1612,1717,1804,1974,2022,2122,2204,2229
"WA,W",9004,7955,7152,6369,5568,5271,4875,4457,4129,3891,3896,3901,4100,4264,4548,4944,5296,5777,6154,6372,6474,6658
"OK,N",2593,2350,2183,1990,1746,1661,1557,1495,1429,1351,1304,1292,1338,1398,1448,1514,1557,1608,1708,1763,1819,1884
"OK,E",1513,1451,1357,1235,1126,1074,997,949,896,802,755,750,777,855,910,959,992,1001,1043,1064,1080,1169
"OK,W",5331,4907,4620,4259,3829,3782,3579,3488,3284,3100,3074,3101,3329,3424,3480,3531,3528,3611,3716,3782,3891,3986
"AL,N",13511,12291,10904,9616,8234,8024,7825,7744,7619,7763,8149,8333,8611,8704,8779,8993,9166,9493,9708,9827,9974,9945
"AL,M",8154,7375,6357,5538,4745,4581,4593,4551,4549,4734,5056,5216,5408,5571,5546,5531,5609,5600,5840,5995,6077,6073
"AL,S",5009,4496,3807,3258,2825,2688,2690,2645,2627,2757,2946,3012,3151,3186,3205,3363,3413,3500,3576,3573,3662,3712
"FL,N",2604,2407,2128,1923,1713,1642,1664,1625,1590,1547,1533,1554,1618,1709,1795,1877,1955,1953,2033,2099,2136,2307
"FL,M",25898,24003,22612,20838,19081,18934,18046,17367,16648,15347,14601,13923,13891,14597,15318,16405,17579,18471,20183,21094,21927,23442
