Circuit and District,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"NY,N",-35.353365788148395,-28.360469519121544,-27.671402100061766,-27.45053445531044,-20.020773824980527,-22.568710359408033,-17.364076288072873,-5.673981191222571,-0.5844155844155844,7.20136518771331,11.884257664485014,11.63177135260884,12.312214239059438,13.498885705189432,10.960591133004927,9.794581720750223,7.822041291072987,5.245441795231417
"NY,E",-61.33978508138001,-50.06678714543883,-43.71012284544329,-32.98372513562387,-12.386215864759428,-9.15814319433517,8.577228895279987,26.02986148587875,47.42115027829313,47.47964663086783,41.009660330320976,39.08078789608906,27.586206896551722,21.834625322997418,15.270718232044198,6.291050903119869,3.935687512329848,3.3066615251132747
"NY,S",-38.98284008952997,-31.699299699871375,-33.62956033676333,-30.48694424841214,-25.881393927043,-26.1142498430634,-15.36293164200141,-8.020304568527918,6.488864448721474,11.894647408666101,11.656952539550375,16.63907284768212,12.806609863155177,15.084788661098456,15.684812329107631,17.388218594748047,14.557106889448388,17.110182537937103
"NY,W",-41.82595573440644,-31.220794392523366,-25.47515838612871,-22.154548915112297,-15.002161694768699,-20.04246284501062,-20.22371364653244,-6.943765281173595,-4.22177009155646,1.168348380244291,13.236118900729107,3.6784025223331582,9.559214020180564,11.443569553805775,8.519068845963348,18.246325392802838,16.04459524963645,18.982571832312765
"PA,E",-50.472754416521525,-41.970271058000584,-36.977762803234505,-30.129870129870127,-12.710374277819644,-15.042692114515319,-8.09943865276664,1.3440091507006005,5.151079136690647,10.877919006798699,12.01279813845259,12.641083521444695,12.753147235905857,14.556118368435083,18.332900545312906,17.409819639278556,18.325242718446603,18.431463811961834
"PA,M",-40.97499093874592,-32.681912681912685,-30.589595375722546,-24.767472761094872,-16.97881486030089,-21.340333539221742,-14.756828780812793,-8.265630519251149,0.7396449704142012,13.780918727915195,16.139116842516607,16.134000770119368,12.408223201174744,8.040027605244997,9.08479138627187,15.019893899204245,16.36185499673416,17.98147556691153
"PA,W",-31.52327221438646,-23.58611825192802,-28.141983695652172,-24.252615844544096,-20.988671472708546,-23.044575273338943,-13.259276766721815,-9.102121361618156,-1.329509906152242,6.202185792349726,6.076294277929155,9.063772048846676,8.243064729194186,8.61847182917417,14.718725918314924,12.216969395371983,10.544300707835001,9.995262908574135
"NC,E",-42.48834110592938,-41.25990053416835,-37.3363806357781,-27.66423357664233,-15.60961482768607,-8.529319535904673,-0.4641909814323607,2.8927009754456776,11.805078929306795,18.82070620500514,22.01865423051299,24.485125858123567,21.700429711479437,19.936526255049046,19.546819546819545,20.903361344537817,18.865069356872635,18.619196535963436
"NC,M",-41.79184549356223,-35.78725961538461,-29.962290023997255,-20.581210191082803,-12.350230414746544,-16.612072999532053,-13.950073421439061,-14.536340852130325,-9.621451104100947,0.8978675645342313,3.0147895335608648,9.618768328445748,15.590459569517161,11.624026696329254,15.29541689674213,10.647405029427501,1.0065425264217414,0.0
"NC,W",-46.85761957730812,-42.8168130489335,-36.93098384728341,-29.645824223874072,-19.46624803767661,-21.996708721887,-19.441210710128058,-11.497824735860783,-0.7147498375568551,10.478199718706048,22.18208092485549,24.648876404494384,22.18586387434555,29.853596435391474,26.31578947368421,23.211267605633804,18.853776111408678,12.352941176470589
"VA,E",-37.94819590544056,-31.043693951535968,-30.278884462151396,-25.15535278848423,-19.258111556689755,-21.97011621472053,-13.393483709273182,-9.185496584340514,3.6460097076419458,13.026004728132387,12.513022340548673,16.52586506191413,14.245262470050099,11.84898556787283,14.351851851851851,12.752011123249579,8.141086749285034,9.424964936886395
"VA,W",-39.00055319933616,-32.940933498554315,-27.762237762237763,-22.89695057833859,-16.717049576783555,-18.139821373575607,-14.230396902226525,-6.818956699624958,3.9564428312159707,9.104589917231001,9.179834462001505,7.39114526161727,0.9776536312849162,1.862068965517241,7.856650585802895,8.040885860306645,13.34716459197787,14.691943127962084
"WV,N",-22.882882882882882,-28.081556997219646,-27.900000000000002,-25.240641711229944,-27.102803738317753,-19.716494845360824,-19.55617198335645,-17.453505007153076,-4.807692307692308,-5.457463884430177,6.724137931034482,8.145580589254767,6.228956228956229,9.67741935483871,4.68497576736672,11.057692307692307,10.935023771790808,10.21671826625387
