Circuit and District,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"NY,N",-14.45709013,-11.4404079,-15.21164021,-16.50910364,-16.12729234,-15.04138179,-11.7199688,-6.458377018,-5.766345123,-3.473104617,-0.4638833665,-1.322573414,0.5232029117,0.526546731,-1.420328451,1.385733757,-2.217696311,-1.920558708
"NY,E",-37.35651033,-23.73595506,-26.47058824,-24.15419649,-21.86736475,-7.808471455,3.353535354,9.307312889,18.67321867,15.94087095,15.63721658,18.48145968,17.42894786,9.855272226,6.727518594,6.126842192,7.77368168,12.48431619
"NY,S",-21.36621048,-21.37981472,-27.52270748,-29.13950456,-26.84171043,-23.73643411,-16.97854077,-12.87948482,-3.260869565,-2.276885546,-3.949545079,-1.224920803,0.5511977952,1.206573747,4.477933262,6.478511867,1.602361375,2.076053443
"NY,W",-19.45057149,-18.15104718,-17.45220098,-16.65465032,-16.40527757,-13.02662187,-13.95098303,-8.996539792,-9.827278142,-9.27191679,-5.946791862,-7.446134347,-3.863936592,-2.554864068,-0.4991680532,3.80006847,6.183442116,8.806722689
"PA,E",-17.89370604,-18.27517266,-15.52819698,-16.5202109,-13.48801908,-11.79806516,-10.20216267,-6.922600619,-6.70510089,-7.060010086,-3.992146597,-4.803086748,-3.976356797,-3.865979381,-3.122017723,-0.7966457023,-1.83268047,0.479751658
"PA,M",-14.6111658,-11.41464855,-13.886781,-12.49403151,-11.5942029,-11.70195033,-8.00140994,-7.530010913,-6.780923994,-3.88899377,-3.007662835,-2.517702596,0.09992006395,-0.3339226085,1.501086312,5.508474576,3.813136355,1.320457233
"PA,W",-15.58592614,-14.84025082,-16.59067358,-15.82906356,-14.78929843,-14.09537167,-10.53547024,-9.428830462,-6.454655707,-6.19047619,-6.971253993,-4.69040469,-3.428406799,-0.4641044235,1.074787282,-0.7651912978,-1.775059666,-2.43333819
"NC,E",-15.40016959,-16.08837083,-16.57158955,-15.45954789,-14.45643793,-13.6084639,-12.25730204,-11.02999384,-10.13970257,-8.815555763,-8.245141428,-7.444389521,-4.924774323,-2.778347345,1.509908776,3.332621235,2.257622112,4.418432985
"NC,M",-14.31978061,-13.86286999,-13.74475891,-13.72074253,-13.35930977,-13.45512542,-12.83609297,-13.501715,-13.7327337,-11.24141397,-11.67654235,-10.77865898,-9.588531,-9.890524726,-9.609313339,-12.82828283,-13.17957166,-14.6418098
"NC,W",-13.03078944,-14.08054486,-15.17967782,-15.22126763,-15.97315436,-18.8350853,-17.98758218,-16.08030593,-14.43690096,-10.97664544,-7.860164774,-6.33401686,-5.04084014,-2.098735989,-2.609956501,-3.916322063,-3.588105186,-2.192448234
