Circuit and District,2020-03,2020-06,2020-09,2020-12,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"NY,N",6232,6276,5800,5308,4791,4502,4433,4133,3979,3767,3505,3318,3333,3308,3272,3420,3417,3541,3668,3629,3806,3844
"NY,E",16613,15845,13547,11712,9568,8045,7693,7044,6646,6200,6254,6577,7114,7721,8255,8805,9215,9802,10034,9985,10052,9906
"NY,S",9241,8350,7719,6927,6718,6533,6469,6175,5434,5069,4600,4334,4036,4062,4214,4286,4344,4491,4449,4663,4933,5208
"NY,W",4322,4114,3807,3673,3283,3213,3020,2738,2626,2388,2302,2215,2213,2217,2209,2208,2180,2201,2206,2222,2214,2263
"PA,E",8315,7690,7591,6946,5992,5994,5305,5095,4765,4489,4349,4147,4200,4323,4169,4367,4422,4586,4791,4746,5007,5056
"PA,M",5598,5360,4991,4659,4297,4014,3920,3619,3436,3272,3035,3028,3105,3135,3160,3185,3095,3149,3166,3202,3375,3575
"PA,W",7417,6927,6956,6695,6463,6247,5832,5506,5125,4869,4520,4415,4266,4345,4400,4352,4339,4257,4397,4565,4653,4815
"NC,E",6570,6690,6443,6015,5814,5563,5369,5052,4793,4605,4455,4313,4385,4410,4521,4562,4457,4429,4236,4292,4499,4512
"NC,M",3897,3874,3735,3483,3371,3247,3091,3015,2864,2708,2599,2567,2570,2493,2505,2494,2531,2530,2571,2697,2637,2688
"NC,W",3848,3557,3393,3134,2803,2773,2695,2545,2493,2475,2328,2223,2207,2082,2040,2051,2080,2128,2243,2350,2369,2392
"VA,E",17428,17024,16309,15624,14973,14518,13813,12931,11809,11499,10787,10461,10601,10605,10525,10627,10862,10806,11253,11337,11724,11987
"VA,W",5429,5306,5061,4653,4402,4323,4246,4083,4013,3818,3582,3505,3443,3461,3295,3283,3318,3285,3503,3678,3648,3686
"WV,N",1162,1110,1140,1126,1025,1010,892,845,796,724,680,626,624,594,604,619,621,632,634,629,646,657
"WV,S",1766,1721,1920,1701,1592,1539,1422,1279,1163,1086,1010,908,938,891,838,876,876,899,953,935,898,872
"LA,E",3374,3086,3147,3194,2994,2811,2518,2272,2263,2379,2321,2227,2171,1963,2100,2105,1986,1984,1883,2046,2189,2296
"LA,M",1490,1435,1402,1393,1333,1268,1206,1083,953,941,857,807,836,786,796,822,846,945,965,1029,1096,1076
"LA,W",8446,7847,7728,7287,7095,7248,7060,6999,6729,6265,6124,5873,5776,5893,5809,5817,5954,5964,5899,5841,5546,5568
"MS,N",5241,5337,5087,4908,4634,4370,4150,3991,3915,3678,3756,3656,3705,3704,3616,3794,3732,3814,3845,3911,4055,4194
"MS,S",7349,7424,7207,6948,6369,5777,5355,4970,4794,4783,4660,4815,4847,4958,5091,5098,5075,5062,4975,4924,5074,5068
"TX,N",13109,11712,11783,11109,10265,10205,9304,8725,8398,8249,8052,8035,7998,8107,7655,8420,8808,9215,10216,10125,10709,11028
"TX,E",5682,5450,5564,5310,5203,5124,4659,4373,4014,3880,3678,3809,3743,3893,3931,4076,4184,4291,4544,4710,5076,5444
"TX,S",10045,9860,9344,9072,9003,8512,8310,8226,7584,7161,6877,6584,6536,6690,6754,6953,7620,7570,7817,8211,7984,8676
"TX,W",8821,8676,7897,7503,6813,6348,6278,5855,5624,5409,4995,4859,4901,4860,5164,5339,5587,5959,6202,6771,7044,7096
"KY,E",7484,7514,7056,6722,6590,6129,5937,5610,5273,5038,4676,4584,4659,4575,4710,4767,4793,4925,4959,5037,5163,5352
"KY,W",7222,7009,6592,6153,5833,5628,5542,5421,5304,5224,5027,4984,4915,4865,5061,4995,5239,5369,5459,5725,5744,5608
"MI,E",24176,23945,22042,20486,18997,17692,17319,16779,15824,15127,14902,14462,15119,15629,15744,16236,16286,16297,16322,16462,16511,16401
"MI,W",5739,5866,5686,5213,5101,4780,4567,4372,4011,3652,3426,3243,3211,3177,3133,3071,3133,3273,3202,3350,3454,3311
"OH,N",20555,20419,19003,17735,16444,15508,14666,14031,13330,12714,12034,11572,11644,11593,11761,12016,12081,12479,12808,13392,13759,13888
"OH,S",17554,17281,16397,15669,14464,13680,12915,12437,12045,11482,10781,10112,9799,9840,9957,10145,10295,10511,10737,10796,11231,11186
"TN,E",12369,12496,11600,11236,10345,9738,9223,8505,7882,7237,7341,7485,7510,8045,7550,7416,7322,7045,7100,7054,7149,7287
"TN,M",8759,8507,8264,7778,7336,7278,6922,6626,6241,6029,5780,5635,5574,5454,5405,5412,5433,5327,5330,5332,5311,5471
"TN,W",13565,13182,12093,10907,10238,9678,9444,9283,8632,8074,8043,8125,8482,8526,8794,8916,8854,8836,8669,8646,8753,9004
"IL,N",42791,41539,38272,35558,30280,27338,24139,22905,22711,22216,22236,21226,20721,20378,20395,21095,21100,21189,21150,20931,21031,21534
"IL,C",5002,5070,4990,4572,4279,4125,3673,3433,3053,2845,2668,2614,2683,2587,2641,2702,2682,2805,2768,2730,2715,2659
"IL,S",3491,3318,3135,3100,2847,2819,2689,2379,2236,2105,2043,1912,1854,1853,1811,1905,1936,1902,1806,1709,1685,1723
"IN,N",9025,8762,8616,8325,7737,7584,7352,7209,6977,6561,6152,5895,5614,5676,5720,5764,5673,5672,5781,5775,5945,6138
"IN,S",14098,13244,12979,12494,12001,12359,11538,11161,10719,10386,9962,9605,9414,9242,9094,8842,8836,9031,9112,9443,9496,9511
"WI,E",12418,12059,11320,10336,9662,9234,8956,8513,7878,7579,6966,6828,7030,7053,6885,6847,6882,6637,7021,7244,7208,7509
"WI,W",4364,4451,4068,3778,3502,3203,3188,3017,2825,2630,2442,2374,2330,2335,2267,2263,2342,2403,2463,2525,2542,2626
"IA,N",1848,1848,1798,1687,1475,1440,1329,1273,1250,1151,1049,942,906,932,1020,1054,1122,1190,1175,1251,1295,1329
"IA,S",2918,2926,2772,2646,2462,2278,2213,2000,1930,1799,1640,1665,1540,1563,1595,1552,1687,1745,1802,1831,1883,1947
"MO,E",9734,9187,8771,8895,8256,8291,7921,6912,6650,6352,5980,5781,5743,5670,5693,5729,5753,5867,5848,5939,5997,6002
"MO,W",7075,6848,6611,6228,5844,5673,5428,5136,4940,4692,4446,4363,4290,4185,4157,4143,4150,4182,4146,4139,4208,4196
"CA,N",9661,8782,8255,7942,7325,7463,7149,6505,6162,5674,5217,5047,4961,5002,5139,5281,5448,5579,5769,5916,6128,6298
"CA,E",15298,14356,13705,13116,11965,11532,10693,9852,9312,8607,7856,7319,7317,7595,7845,8396,8518,8942,9435,9836,10625,10920
"CA,C",38851,38194,35252,32921,30205,28582,28443,26759,25465,23616,21412,19816,19037,18939,19405,20392,21504,22754,23958,25184,26093,26172
"CA,S",8481,8280,7842,7749,7134,6820,6531,5899,5337,5055,4433,4065,3950,3806,3941,4203,4563,4736,4935,5013,5008,5246
"WA,E",3422,3334,3171,2981,2723,2532,2391,2144,2050,1928,1805,1698,1666,1677,1703,1780,1816,1902,2060,2134,2287,2273
"WA,W",9879,9560,8976,8312,7648,7123,6552,6177,5817,5427,5228,5044,5002,5037,5072,5234,5406,5549,6006,6326,6454,6546
"OK,N",2612,2561,2406,2303,2124,1993,1888,1734,1642,1596,1446,1391,1401,1384,1465,1466,1480,1494,1532,1638,1751,1797
"OK,E",1560,1560,1487,1375,1303,1211,1200,1120,1028,1025,864,807,785,752,775,850,887,934,1058,982,1037,992
"OK,W",5312,5279,4954,4788,4549,4561,4497,4491,4228,3912,3601,3419,3362,3349,3455,3501,3515,3619,3280,3690,3871,3900
"AL,N",13161,13018,12242,11821,11258,11069,11040,10579,10190,9369,8798,8896,9198,9446,9575,9440,9179,9212,9352,9529,9374,9708
"AL,M",8359,7835,7589,7416,7266,7364,7182,6988,6706,6461,6150,6077,6171,6350,6378,6286,6202,5976,6096,6030,5992,6007
"AL,S",4554,4340,4162,3881,4099,4121,4142,3982,3680,3390,3218,3320,3511,3704,3781,3792,3604,3729,3558,3555,3613,3530
"FL,N",2562,2539,2431,2332,2223,2103,1965,1809,1743,1682,1662,1643,1620,1635,1584,1673,1735,1788,1874,1890,1938,2038
"FL,M",27249,26371,25721,25038,23339,22836,21712,21054,20335,19292,17960,16476,15801,15439,15436,15549,16095,16669,17102,18755,20003,21241
"FL,S",18967,18111,17190,16555,15320,15430,15066,14284,13938,13325,12736,12150,11795,11715,11205,11502,11599,12062,12570,12811,13304,13542
"GA,N",29633,27685,26120,23992,21621,20525,19144,17592,17393,16941,16819,17578,17551,17770,18229,18632,19339,19762,20105,20106,19815,19779
"GA,M",8651,8047,7830,7319,6735,6878,6718,6730,6669,6464,6190,6102,6126,6111,6044,5906,6040,5972,6180,6330,5895,5909
"GA,S",6649,6439,6342,6128,5951,5687,5451,5238,4899,4767,4584,4572,4618,4771,4748,4767,4670,4409,4380,4260,4212,4170
