Circuit and District,2021-03,2021-06,2021-09,2021-12,2022-03,2022-06,2022-09,2022-12,2023-03,2023-06,2023-09,2023-12,2024-03,2024-06,2024-09,2024-12,2025-03,2025-06
"NY,N",-23.122593068035943,-28.266411727214784,-23.56896551724138,-22.136397889977395,-16.948445001043623,-16.32607729897823,-20.933904804872547,-19.719332204210016,-16.23523498366424,-12.18476241040616,-6.6476462196861625,3.074141048824593,2.5202520252025202,7.0435308343409915,12.102689486552567,6.111111111111111,11.384255194615161,8.55690482914431
"NY,E",-42.406549088063564,-49.226885452824234,-43.212519376983835,-39.85655737704918,-30.539297658862875,-22.93349906774394,-18.705316521513062,-6.629755820556501,7.041829671983148,24.532258064516128,31.995522865366166,33.87562718564695,29.53331459094743,26.952467296982256,21.550575408843127,13.401476433844406,9.08301682040152,1.0610079575596816
"NY,S",-27.302240017314144,-21.760479041916167,-16.19380748801658,-10.856070448967808,-19.112831199761835,-22.40930659727537,-28.8916370381821,-29.813765182186238,-25.726904674273094,-19.865851252712567,-8.391304347826086,-1.1075219197046609,7.631318136769079,10.561299852289514,5.576649264356905,8.796080261315913,13.558931860036832,15.965263861055446
"NY,W",-24.039796390559925,-21.90082644628099,-20.672445495140533,-25.456030492785185,-20.01218397806884,-25.67693744164332,-23.774834437086092,-19.101533966398833,-15.727341964965728,-7.160804020100503,-4.039965247610773,-0.3160270880361174,-1.49118843199277,-0.7216959855660803,-0.1358080579447714,0.6340579710144928,1.5596330275229358,2.8169014084507045
"PA,E",-27.9374624173181,-22.054616384915473,-30.11460940587538,-26.648430751511658,-20.477303070761018,-25.108441775108442,-18.020735155513666,-18.606476938174684,-11.85729275970619,-3.69792826910225,-4.1388825017245345,5.305039787798409,5.285714285714286,6.083738144806848,14.91964499880067,8.678726814746966,13.22930800542741,10.248582642825992
"PA,M",-23.24044301536263,-25.111940298507463,-21.458625525946704,-22.3223867782786,-20.037235280428206,-18.4853014449427,-22.5765306122449,-16.33047803260569,-9.633294528521537,-4.1870415647921755,4.118616144975288,5.184940554821664,-0.322061191626409,0.44657097288676234,0.18987341772151897,0.5337519623233908,9.046849757673666,13.52810416005081
"PA,W",-12.862343265471216,-9.816659448534718,-16.158711903392756,-17.759522031366693,-20.702460157821445,-22.0585881222987,-22.496570644718794,-19.814747548129315,-16.7609756097561,-10.761963442185253,-2.6548672566371683,-1.4269535673839184,1.7112048757618379,-2.0253164556962027,-0.06818181818181819,4.8943014705882355,7.2366904816778055,13.107822410147993
"NC,E",-11.506849315068493,-16.846038863976084,-16.669253453360238,-16.00997506234414,-17.561059511523908,-17.220923961891067,-17.023654311789905,-14.62787015043547,-8.512413936991447,-4.234527687296417,1.4814814814814816,5.773243681891955,1.6419612314709235,0.43083900226757366,-6.303915063039151,-5.918456817185445,0.9423378954453668,1.8740121923684805
"NC,M",-13.497562227354376,-16.184821889519878,-17.242302543507364,-13.436692506459949,-15.040047463660636,-16.599938404681243,-15.917178906502748,-14.859038142620232,-10.26536312849162,-7.9394387001477105,-3.616775682954983,-2.8437865212310087,-1.517509727626459,1.4841556357801846,2.6347305389221556,8.13953488372093,4.188067957329119,6.24505928853755
"NC,W",-27.156964656964654,-22.04104582513354,-20.57176539935161,-18.793873643905552,-11.05957902247592,-10.746483952398126,-13.617810760667904,-12.652259332023574,-11.472121941436022,-15.878787878787879,-12.371134020618557,-7.737291947818263,-5.754417761667422,2.2094140249759846,9.950980392156863,14.578254509995126,13.89423076923077,12.406015037593985
"VA,E",-14.08652742712876,-14.720394736842104,-15.30443313507879,-17.2363031233999,-21.131369798971484,-20.79487532718005,-21.906899297762976,-19.101384270358054,-10.229485985265475,-7.774589094703888,-2.4288495411143045,1.5868463817990632,2.4620318837845487,1.8953323903818955,6.9168646080760094,6.681095323233274,7.93592340268827,10.929113455487691
"VA,W",-18.91692761097808,-18.52619675838673,-16.103536850424817,-12.250161186331399,-8.836892321671968,-11.681702521397177,-15.638247762600093,-14.156257653686016,-14.203837528033889,-9.350445259298063,-8.012283640424343,-6.333808844507846,-3.630554748765611,-5.085235481074834,6.3125948406676775,12.031678342978983,9.945750452079565,12.207001522070016
"WV,N",-11.790017211703958,-9.00900900900901,-21.75438596491228,-24.955595026642985,-22.34146341463415,-28.316831683168314,-23.766816143497756,-25.917159763313606,-21.608040201005025,-17.955801104972377,-11.176470588235295,-1.1182108626198082,-0.4807692307692308,6.397306397306397,4.966887417218543,1.615508885298869,4.025764895330113,3.9556962025316458
"WV,S",-9.85277463193658,-10.575246949447996,-25.937500000000004,-24.80893592004703,-26.94723618090452,-29.434697855750485,-28.973277074542896,-29.007036747458955,-19.34651762682717,-17.955801104972377,-17.02970297029703,-3.524229074889868,-6.609808102345416,0.8978675645342313,13.723150357995225,6.735159817351597,2.5114155251141552,-3.0033370411568407
"LA,E",-11.26259632483699,-8.911211924821776,-19.987289482046393,-28.86662492172824,-24.41549766199065,-15.36819637139808,-7.823669579030977,-1.9806338028169015,-4.065399911621741,-17.48633879781421,-9.521757862990091,-5.478221823080378,-8.521418701059421,1.0697911360163017,-10.333333333333334,-2.802850356294537,10.221550855991945,15.725806451612904
"LA,M",-10.536912751677853,-11.637630662020907,-13.980028530670472,-22.254127781765973,-28.507126781695426,-25.78864353312303,-28.938640132669985,-25.48476454293629,-12.277019937040922,-16.47183846971307,-7.117852975495915,1.858736059479554,1.1961722488038278,20.229007633587788,21.231155778894472,25.18248175182482,29.550827423167846,13.862433862433862
"LA,W",-15.995737627279185,-7.633490505925831,-8.643892339544514,-3.9522437216961714,-5.158562367864693,-13.562362030905078,-13.257790368271955,-16.08801257322475,-14.162579878139397,-5.937749401436553,-5.143696930111038,-0.9535160905840285,3.081717451523546,1.2048192771084338,1.5493200206576003,0.4125838060856112,-6.852536110178031,-6.639839034205232
"MS,N",-11.581759206258347,-18.118793329585912,-18.419500688028307,-18.68378158109209,-15.51575312904618,-15.835240274599544,-9.493975903614457,-8.39388624404911,-5.363984674329502,0.7069059271343121,-3.727369542066028,3.774617067833698,0.728744939271255,2.9697624190064795,6.332964601769911,3.083816552451239,8.654876741693462,9.963293130571579
"MS,S",-13.335147639134576,-22.184806034482758,-25.697238795615373,-28.468624064478988,-24.729156853509185,-17.20616236801108,-12.978524743230627,-3.118712273641851,1.1055486024196914,3.6587915534183564,9.24892703862661,5.877466251298027,4.703940581803177,2.0976200080677696,-2.278530740522491,-3.4131031777167515,-0.019704433497536946,0.1185302252074279
"TX,N",-21.695018689449995,-12.86714480874317,-21.03878468980735,-21.460077414708795,-18.188017535314174,-19.16707496325331,-13.456577815993121,-7.908309455587393,-4.763038818766373,-1.7214207782761546,-4.930452061599603,4.791537025513379,10.127531882970743,13.667201184161836,33.45525800130634,20.249406175771973,21.582652134423252,19.67444384156267
"TX,E",-8.430130235832452,-5.981651376146789,-16.26527677929547,-17.645951035781543,-22.85220065346915,-24.27790788446526,-21.056020605280104,-12.897324491195974,-6.751370204285003,0.33505154639175255,6.87873844480696,7.009713835652402,11.78199305370024,10.223478037503211,15.593996438565249,15.554465161923453,21.319311663479922,26.87019342810534
"TX,S",-10.37332005973121,-13.671399594320487,-11.065924657534246,-9.325396825396826,-15.761412862379206,-15.871710526315788,-17.24428399518652,-19.961098954534403,-13.818565400843882,-6.577293674067867,-1.7885705976443216,5.6044957472661,16.585067319461444,13.153961136023916,15.738821439147172,18.09290953545232,4.776902887139108,14.610303830911493
"TX,W",-22.763858972905567,-26.832641770401107,-20.50145624920856,-21.964547514327602,-17.451930133568176,-14.792060491493384,-20.436444727620263,-17.01110162254483,-12.855618776671406,-10.149750415973378,3.3833833833833835,9.878575838649928,13.997143440114263,22.613168724279838,20.100697134004648,26.82150215396142,26.078396277071775,19.08038261453264
"KY,E",-11.945483698556922,-18.43225978174075,-15.858843537414966,-16.542695626301697,-19.98482549317147,-17.800620003263177,-21.239683341755093,-18.288770053475936,-11.644225298691447,-9.190154823342596,0.7271171941830624,3.992146596858639,2.8761536810474353,7.650273224043716,5.286624203821656,5.663939584644431,7.71959107031087,8.67005076142132
"KY,W",-19.232899473829963,-19.703238693108858,-15.928398058252426,-11.89663578742077,-9.069089662266414,-7.1783937455579245,-9.29267412486467,-8.061243313041874,-7.334087481146305,-6.872128637059724,0.6763477222995823,0.22070626003210272,6.59206510681587,10.359712230215827,7.864058486465125,14.614614614614615,9.639244130559268,4.4514807226671635
